"dates","title"
2021-04-21,"Borussia Dortmund siegt gegen Union Berlin"
2021-04-19,"Na super"
2021-04-18,"Erling Haaland schießt Dortmund zum Sieg"
2021-04-17,"Hansi Flick will FC Bayern zum Saisonende verlassen"
2021-04-16,"Der Hertha drohen sechs Spiele in 18 Tagen"
2021-04-16,"Was hat Gladbach, was Frankfurt nicht hat?"
2021-04-15,"Hertha BSC kann wegen Corona-Fällen nicht spielen"
2021-04-14,"Borussia Dortmund scheitert an Manchester City"
2021-04-14,"Fredi Bobic als neuer Geschäftsführer bei Hertha bestätigt"
2021-04-14,"Sportvorstand Fredi Bobic verlässt Eintracht Frankfurt"
2021-04-12,"Leverkusen und Hoffenheim trennen sich unentschieden"
2021-04-12,"Friedhelm Funkel wird neuer Trainer des 1. FC Köln"
2021-04-12,"Die Mannschaft der Stunde"
2021-04-09,"Hansi Flick in seiner besten Rolle"
2021-04-05,"Die Schrumpfung Borussia Dortmunds"
2021-04-04,"Derby zwischen Union und Hertha endet unentschieden"
2021-04-04,"Ohne Stürmer wird man nicht Meister"
2021-04-02,"Ein Spieltag wie ein volles Osternest"
2021-03-31,"Nordmazedonien holt Überraschungssieg gegen Deutschland"
2021-03-25,"Deutschland gewinnt 3:0 gegen Island"
2021-03-22,"Free Haaland"
2021-03-21,"SC Freiburg holt Sieg gegen Augsburg"
2021-03-19,"Liebling, begraben wir den Streit"
2021-03-15,"Das auffällige Schweigen der Bayern in der Flick-Frage"
2021-03-14,"Stuttgart gewinnt gegen Hoffenheim"
2021-03-12,"Jogi, hol endlich den Müller und Ruh' is"
2021-03-09,"Jürgen Klopp schließt Löw-Nachfolge aus"
2021-03-09,"Bundesliga macht in der Pandemie deutliche Verluste"
2021-03-09,"Joachim Löw hört im Sommer als Bundestrainer auf"
2021-03-08,"Der fiese Tritt von Hoffenheim"
2021-03-07,"Bielefeld trotzt Union Berlin ein Unentschieden ab"
2021-03-07,"Wenigstens rhetorisch offensiv"
2021-03-05,"Nun werden alle untreu"
2021-03-01,"SV Ärger Bremen"
2021-02-28,"Freiburg gewinnt in Leverkusen"
2021-02-28,"Hotspot Gelsenkirchen"
2021-02-28,"Schalke trennt sich von Christian Gross und Jochen Schneider"
2021-02-26,"Verzeihung, wir müssen über Wolfsburg reden"
2021-02-22,"Ein Tor für Hanau"
2021-02-21,"Hoffenheim deklassiert Bremen"
2021-02-19,"Die Bayern werden zum Hotspot Münchens"
2021-02-17,"Und Tschüss"
2021-02-15,"Bayern erkämpft Unentschieden gegen Bielefeld"
2021-02-15,"Der sogenannte Trainer"
2021-02-12,"Auf geht’s, Bayern, impfen und siegen!"
2021-02-11,"FC Bayern München gewinnt die Club-Weltmeisterschaft"
2021-02-11,"Thomas Müller positiv auf Corona getestet"
2021-02-08,"Mia san mimimi"
2021-02-07,"Eintracht Frankfurt bleibt 2021 ungeschlagen"
2021-02-07,"Bundesliga-Spiel Arminia Bielefeld gegen Werder Bremen abgesagt"
2021-02-05,"Die Cancel Culture erreicht die Bundesliga"
2021-02-01,"Ungenial daneben"
2021-02-01,"So kickt man bei den Teutonen"
2021-01-31,"Wolfsburg gewinnt gegen Freiburg"
2021-01-29,"Marcel Reif klärt Dinge in der Kabine"
2021-01-29,"Endspiele werden erstmals von Frauen kommentiert"
2021-01-26,"Bis das Spielzeug der Tochter verkauft wird"
2021-01-26,"Die Favoritenrolle geschickt kaschiert"
2021-01-25,"Deutsche Handballer nur Zwölfte"
2021-01-25,"Bayerns Konkurrenz kapituliert"
2021-01-24,"Hoffenheim lässt Köln im Keller "
2021-01-22,"Über den Dächern von Essen"
2021-01-22,"Spanien war das eingespielte Team, das die Deutschen gerne wären"
2021-01-21,"Überall Spannung, nur in der Bundesliga nicht"
2021-01-21,"The hills Schalke has to climb"
2021-01-20,"Leipzig gewinnt gegen Union Berlin"
2021-01-20,"Es fehlte vorne und vor allem hinten"
2021-01-18,"Union versteht so viel von Rassismus wie Merz von Sexismus"
2021-01-17,"Schalke ist wieder Tabellenletzter"
2021-01-15,"Deutsche Handballer gewinnen deutlich gegen Uruguay"
2021-01-15,"Hier gibt es nichts zu lachen!"
2021-01-14,"Das freut auch Friedrich Merz"
2021-01-11,"Im Vergleich zu Schalke hielt Dornröschen einen Mittagsschlaf"
2021-01-10,"Arminia Bielefeld verlässt Relegationsplatz"
2021-01-08,"Die Bayern-Abwehr ist fast so leicht zu stürmen wie das Kapitol    "
2021-01-08,"""Wir sahen uns als bester Verlierer aller Zeiten"""
2021-01-04,"Du singst es nie allein"
2021-01-04,"In Stuttgart hält man sich an die guten Vorsätze fürs neue Jahr"
2021-01-02,"Bayern München besiegt Mainz"
2021-01-02,"Die Brieffreunde aus Schwaben"
2020-12-27,"Christian Gross soll Schalke vor dem Abstieg retten"
2020-12-21,"Spucken in Zeiten der Pandemie"
2020-12-20,"Wolfsburg gewinnt trotz einiger Quarantänefälle"
2020-12-18,"O Manuel Baum, o Manuel Baum ..."
2020-12-18,"Schalke trennt sich von Trainer Manuel Baum"
2020-12-17,"Der wahre Weltfußballer steht im Tor"
2020-12-16,"Bayer Leverkusen verteidigt Spitzenposition"
2020-12-15,"Stuttgart gelingt gegen Union kurz vor Schluss der Ausgleich"
2020-12-14,"Lucien Favre hat nie nach Dortmund gepasst"
2020-12-13,"Leverkusen erobert die Tabellenführung"
2020-12-11,"Wo fängt Rassismus an?"
2020-12-09,"Du sagst nie ""dieser Weiße"", warum sagst du ""dieser Schwarze""?"
2020-12-08,"WM-Gastgeber Katar bestreitet Testspiele in europäischer Qualifikation"
2020-12-08,"We go Löw"
2020-12-08,"TSG Hoffenheim gelingt lang erwarteter Sieg"
2020-12-07,"Deutschland trifft auf Rumänien und Island"
2020-12-07,"Leipzig, das neue Dortmund"
2020-12-06,"Schalke setzt Pleitenserie gegen Leverkusen fort"
2020-12-04,"Dortmund will aufhören, sich zu überschätzen"
2020-12-02,"BVB erreicht mit einem Unentschieden das Achtelfinale"
2020-12-02,"Bayern bleibt ungeschlagen, Mönchengladbach verliert daheim"
2020-11-30,"Manuel Neuer fällt schneller als Newtons Apfel"
2020-11-28,"Hoffenheim rettet Punkt gegen Mainz"
2020-11-27,"Was Maradona in Meppen machte"
