"dates","title","ressort"
2021-10-30,"Salah trifft nicht, schon gibt Liverpool Punkte ab","Sport"
2021-10-30,"Bayern siegen bei Union Berlin, Tigges trifft für den BVB","Sport"
2021-10-30,"Remis gegen St. Pauli – Werders Pech und Glück in der 92. Minute","Sport"
2021-10-29,"Schalke verliert nach Gegentor in Minute 89 – auch Nürnbergs Serie endet","Sport"
2021-10-23,"Bayern brillieren weiter ohne Nagelsmann, BVB bleibt erster Verfolger","Sport"
2021-10-22,"Nach drei Spielen gewinnt der HSV wieder – durch ein Tor in der Nachspielzeit","Sport"
2021-10-20,"Sané führt Bayern per Doppelpack zum Sieg gegen Benfica","Sport"
2021-10-17,"Bayern-Frauen kassieren erste Saisonpleite – und die Liga ist spannend wie selten","Sport"
2021-10-17,"45 Minuten haben gereicht, um den Gegner zu demütigen","Sport"
2021-10-17,"Vier Tore in sieben Minuten – FC Bayern brilliert in Leverkusen","Sport"
2021-10-17,"Wolfsburg verliert erstmals seit 2017 gegen einen Gegner, der nicht Bayern München heißt","Sport"
2021-10-16,"Haaland ist wieder da","Sport"
2021-10-16,"Hertha gewinnt bei Bobics Rückkehr nach Frankfurt","Sport"
2021-10-16,"Liverpool überrollt Watford bei Ranieri-Debüt","Sport"
2021-10-15,"»Eine richtige Klatsche«","Panorama"
2021-10-11,"Deutschland qualifiziert sich für die WM in Katar","Sport"
2021-10-04,"Und sie sind doch verwundbar","Sport"
2021-10-03,"Real Madrid blamiert sich gegen das kleine Barcelona","Sport"
2021-10-03,"Terodde stellt Torjäger-Rekord ein, St. Pauli ist ganz oben","Sport"
2021-10-03,"Titel kann man nicht kaufen. Glamour schon","Sport"
2021-10-02,"Gladbach gewinnt wildes Spiel in Wolfsburg, Superjoker Petersen schockiert Hertha","Sport"
2021-10-02,"Regensburg schwächelt und bleibt dennoch (zunächst) vorne","Sport"
2021-10-01,"Werder siegt souverän – HSV rettet Remis in Aue","Sport"
2021-10-01,"»Junges Forum« berichtet von antisemitischen Vorfällen bei Union-Partie gegen Maccabi Haifa","Sport"
2021-09-30,"Geschlagen bei seinem eigenen Spiel","Sport"
2021-09-29,"Barcelona geht in Lissabon unter, Chelsea verliert bei Juve","Sport"
2021-09-29,"Lewandowski leitet hohen Bayern-Sieg ein, Wolfsburg kassiert späten Ausgleich","Sport"
2021-09-29,"Ein Sheriff als Racheengel","Sport"
2021-09-27,"Stafford gewinnt Quarterbackduell gegen Brady","Sport"
