"dates[-1]","title[-1][1:length(dates[-1])]"
2020-04-17,"Sachsen und Mecklenburg-Vorpommern führen Maskenpflicht ein"
2020-04-17," Kirchen rechnen mit Gottesdiensten ab Mai"
2020-04-17,"Die wichtigsten Corona-Nachrichten vom Freitag"
2020-04-08,"Immer mehr Menschen fahren Bahn und Bus"
2020-04-03,"Ist die U-Bahn noch sicher?"
2020-03-13,"500 Euro, um das Nötigste abzufedern"
2020-03-12,"Auf dem Weg zur Arbeit Geld verdienen"
2020-02-27,"Keine Tickets mehr für Bus, Tram und Bahn"
2020-02-22,"""Wir fahren keinen Kuschelkurs"""
2020-02-21,"Der bürgerliche Anstrich hilft ihnen nicht"
2020-02-14,"""Das Auto ist kein Auslaufmodell"""
2020-01-30,"Bund gibt mehr Geld für Bus und Bahn"
2020-02-05,"Er oder sie?"
2020-01-23,"Monheim first"
2020-01-20,"Ministerin Julia Klöckner will #Dorfkinder feiern und wird dafür ausgelacht"
2020-01-15,"Noch fahren sie"
2020-01-05,"""Ich hadere damit, für börsennotierte Unternehmen zu arbeiten"""
2020-01-01,"Wo es sich entscheidet"
2019-12-22,"""Ohne das Einkommen meines Mannes könnte ich nicht überleben"""
2019-12-03,"Geteiltes Leid "
2019-11-28,"Die Städte kämpfen um die Kontrolle"
2019-11-27,"""Für meine Mutti wünsche ich mir ein Mitfahrnetzwerk"""
2019-11-26,"Wie die Verkehrswende auf dem Land gelingt"
2019-11-19,"Bus für lau – und alle fahren Auto"
2019-11-07,"Der Winter wird hart für die Rollerverleiher"
2019-11-05,"Zwischen leicht verdientem Geld und Ausbeutung"
2019-11-04,"Uber testet erstmals Landtaxi"
2019-11-01,"Mobilitätsflatrate in Augsburg startet"
2019-10-29,"Gibt es einen besseren ÖPNV-Deal?"
2019-10-27,"Wir brauchen eine Städtemaut"
2019-10-23,"Die Runde endet, sobald der erste Hitlervergleich fällt"
2019-10-15,"Lombardsbrücke: Sanierung verzögert sich"
2019-09-28,"Bus- und Bahnfahren wird vielerorts teurer"
2019-09-15,"Protestbündnis erklärt Blockade der IAA für beendet"
2019-09-14,"Stabile Preise gibt's nur für Autofahrer"
2019-09-09,"""Das ist eine Jahrhundertaufgabe, die viele Milliarden kosten wird"""
2019-09-05,"SPD will klimaschonende Mobilität für alle"
2019-09-05,"""Falschparker behindern die Verkehrswende"""
2019-08-28,"Berliner Nahverkehr laut Untersuchung vergleichsweise schnell"
2019-08-27,"Die Wahrheit über die Hafenquerspange "
2019-08-22,"Franziska Giffey unterstützt Freifahrten bei Freiwilligendienst"
2019-08-19,"""Diese Jugendbewegung taugt nicht als Feindbild"""
2019-08-17,"Fahrradverband kritisiert Andreas Scheuers Verkehrsreform"
2019-08-15,"Aufbruch mit Gegenwind"
2019-08-18,"""Für mich ist es sehr schwierig, mit Freunden über Geld zu sprechen"""
2019-08-14,"Was die ""Fridays for Future""-Aktivisten von der Stadt Hamburg fordern"
2019-08-09,"Ohne Ticket wird nicht alles gut"
2019-08-09,"Planen Sie mit der Dummheit der anderen!"
2019-08-09,"Mehr und mehr Städte im Klimanotstand"
2019-08-03,"Wie fährt es sich Rad in der kleinen Stadt?"
2019-07-30,"Wie nachhaltig sind Elektroroller wirklich?"
2019-07-26,"Er will die SPD heilen"
2019-07-07,"Nehmt uns ernst!"
2019-06-12,"Fahrradreform mit Bremse"
2019-06-06,"""Wir haben gerade keinen guten Lauf"""
2019-06-05,"""Es ist nur noch zum Kotzen"""
2019-05-28,"Wie kann Hamburg besser werden?"
2019-05-20,"Platz da!"
2019-05-18,"""E-Tretroller werden den Autoverkehr kaum reduzieren"""
2019-05-10,"Weniger Autos, bessere Luft"
2019-05-01,"Was heißt Sozialismus für Sie?"
2019-04-24,"Gericht schränkt VW-Sammeltaxidienst ein"
2019-04-25,"Sie meinen es ernst"
2019-04-06,"Ganz genau will Stuttgart es nicht wissen"
2019-03-27,"Der Hamburger Spatz stirbt aus"
2019-03-15,"Im Roboterauto vom Seniorenheim ins Theater"
2019-03-06,"""Auch ein Radfahrer kann nicht jederzeit freie Fahrt erwarten"""
2019-03-03,"Die Neuerfindung des Sammeltaxis"
2019-02-15,"Am Limit"
2019-02-11,"Warum das Recht auf Homeoffice eine gute Idee ist"
2019-02-08,"Freie Fahrt für gelbe Westen?"
2019-01-19,"1.000 kleine Taten für das Klima"
2019-01-01,"Gebt den Städten mehr Geld für den Nahverkehr"
2018-11-28,"Das Letzte"
2018-11-10,"""Unsere Zukunft steht auf dem Spiel"": Wofür junge Grüne sich jetzt in ihrer Partei engagieren"
2018-11-03,"CDU-Innenpolitiker will Abschiebestopp für Syrer überprüfen"
2018-10-12,"Wer kann mit wem?"
2018-10-09,"Miese Luft, lahme Politiker"
2018-10-03,"9 Thesen junger Menschen zum Tag der Deutschen Einheit: ""So gelingt uns die Wende wirklich!"""
2018-09-23,"Ein Nummernschild für jedes Fahrrad?"
2018-09-13,"Unsere 50 Lieblings-Apps"
2018-08-29,"""Wir müssen unser Land gegen die Rechten verteidigen"""
2018-08-14,"Warten, Testen, Zeit schinden"
2018-07-31,"Fahrerlos im Dienst"
2018-07-25,"Mehr Radverkehr, mehr Lebensqualität"
2018-07-29,"Volkswagen nach dem Uber-Prinzip"
2018-07-18,"Ein Verbot, das kaum jemanden betrifft"
2018-07-09,"Nach unten treten, nach oben buckeln"
2018-07-09,"Milliarden fürs Mitreden"
2018-07-04,"""6 Uhr? Eine gute Zeit für eine Runde auf dem Großmarkt"""
2018-06-22,"Städtetag fordert vom Bund Milliarden für sauberen Verkehr"
2018-06-04,"Einfach mal die Autos aussperren"
2018-05-19,"Verloren zwischen Verleih-Fahrrädern"
2018-05-06,"Die grüne Welle für Fahrräder"
2018-04-17,"Mit Hightech und pädagogischem Druck"
2018-04-16,"""Mit Tausenden Vögeln fühlt man sich nicht einsam"""
2018-04-09,"Stadt ohne Plan"
2018-04-03,"Bald könnten Sie auch ihren neuen Benziner nicht mehr loswerden"
2018-03-27,"Städte-Maut statt Fahrverbote"
2018-03-18,"Taktung hoch, Preise runter"
2018-03-18,"Im Land der Öffis"
2018-03-02,"Kostenloser ÖPNV – und die Stadt verdient daran"
2018-02-28,"Abstimmung: Werbung gegen Geschlechter-Stereotypen"
2018-02-26,"Kostenloser Nahverkehr vorerst in keiner Kommune"
2018-02-17,"Städtetag rechnet mit Fahrverboten"
2018-02-18,"""Ich bräuchte drei- bis viermal länger als mit dem Auto"""
2018-02-16," Es geht um die Pendler, stupid!"
2018-02-15,"Scholz tauscht Bierzelt gegen Bürgerschaft"
2018-02-14,"Ist kostenloser Nahverkehr eine gute Idee?"
2018-02-14,"Bundesregierung dementiert konkrete ÖPNV-Pläne"
2018-02-14,"Was muss sich im öffentlichen Nahverkehr ändern?"
2018-02-14,"Kommunen kritisieren Vorschlag zu kostenlosem Nahverkehr"
2018-02-14,"Gendern oder Nichtgendern?"
2018-02-13,"Bund erwägt kostenlosen Nahverkehr"
2018-02-08,"Die Personalie Olaf Scholz"
2018-02-07,"Die Bahn gibt's ja auch noch"
2018-01-17,"Grundsteuer: Horrende Mehrkosten? "
2018-01-05,"Wie kommen wir aneinander vorbei, ohne dass es kracht?"
2017-12-22,"Ilse bringt dich"
2017-12-10,"Das Glück ist mit den Blöden"
2017-11-27,"Ruhepause kostet 83-Jährigen 35 Euro Bußgeld"
2017-11-23,"Nicht neu, aber einigermaßen crazy"
2017-11-15,"Radverkehr: Koordinatorin Pfaue ist für Fahrradstraßen"
2017-09-07,"Bloß nicht mit denen!"
2017-08-11,"""Ein Puzzlespiel, das gerade vor unseren Augen abläuft"""
2017-08-03,"Jeder ist erst mal verdächtig"
2017-08-03,"Gesundheit, Herr Horch!"
2017-08-02,"Rahlstedt hofft: Die S4 soll früher kommen "
2017-07-31,"So viel gependelt wurde noch nie"
2017-07-17,"Meine Haltestelle, mein Kiez"
2017-07-06,"Die Freiheit der anderen"
2017-06-14,"Diesel sollen draußen bleiben"
2017-06-12,"Parken verteuern, Bus und Bahn ausbauen"
2017-06-02,"Dieselgate ist ein Fall für die EU-Wettbewerbshüter"
